Insecte,Type / Groupe,Role Principal,Proies / Cibles,Benefice Specifique pour le Rosier,Temp Min (°C),Temp Max (°C),Humidite Min (%),Humidite Max (%),Luminosite Favorable,Freq Fondamentale (Hz),Description Acoustique,Moyens d'Attraction
Abeille domestique,Pollinisateur,"Pollinisation majeure, transport du pollen des étamines au pistil.",Aucune (nectar & pollen),"Assure la formation des cynorrhodons et des graines du rosier, favorise la diversité génétique.",18,30,40,70,Forte (10 000 - 100 000 lux),200 - 250,"Son monotone, continu. Le volume oscille doucement.","Fleurs mellifères, points d'eau peu profonds, zéro pesticide."
Bourdon,Pollinisateur,Pollinisation vibratile (vibration des muscles pour libérer le pollen).,Aucune (nectar & pollen),"Complète l'abeille sur les fleurs de rosier peu ouvertes ou par temps frais, quand l'abeille est moins active.",12,25,50,80,Moyenne à forte (5 000 - 80 000 lux),120 - 250,"Ronronnement grave, régulier, vibration mécanique puissante.","Fleurs abondantes, abris adaptés, zones calmes."
Syrphe,Double Rôle (Pollinisateur & Prédateur),"Adultes pollinisent, larves prédatrices.",Pucerons,"Rôle double sur rosier : l'adulte pollinise, la larve régule directement les colonies de pucerons du rosier (cause principale de fumagine).",15,28,50,80,Moyenne à forte (5 000 - 70 000 lux),280 - 350,Son haché. Sifflement aigu stable (3s) alterné de déplacements rapides.,"Petites fleurs riches en nectar, pas d'insecticides."
Coccinelle,Auxiliaire / Prédateur,Contrôle naturel des pucerons et cochenilles.,"Pucerons, cochenilles, petits ravageurs","Auxiliaire clé contre le puceron du rosier (Macrosiphum rosae) et les cochenilles observées sur les tiges.",18,28,50,70,Moyenne à forte (5 000 - 80 000 lux),N/A,Inaudible en vol libre général.,"Hôtel à insectes, biodiversité végétale, absence de traitements."
Chrysope,Auxiliaire / Prédateur,Larves prédatrices redoutables de ravageurs.,"Pucerons, œufs d'insectes, acariens, jeunes chenilles","Les larves consomment aussi bien les pucerons que les jeunes chenilles de tenthrède et les œufs d'autres ravageurs du rosier.",18,30,60,80,Faible à moyenne (100 - 10 000 lux) - Crépusculaire,N/A,Inaudible.,"Fleurs riches en pollen, hôtels à insectes, zéro pesticide."
Guêpe parasitoïde,Auxiliaire / Parasitoïde,Régulation biologique des ravageurs par ponte interne.,"Chenilles, pucerons, cochenilles",Parasite les larves de tenthrède et les pucerons directement sur le rosier sans usage de pesticide.,15,30,50,80,Moyenne,150 - 300,"Bourdonnement aigu, discret, fin et peu puissant.","Ombellifères, plantes sauvages, hôtels à insectes."
Mouche tachinaire,Auxiliaire / Parasitoïde,Larves parasitent les chenilles et punaises.,"Chenilles, larves de coléoptères, punaises",Limite les chenilles défoliatrices et certains coléoptères ravageurs du feuillage du rosier.,15,28,50,80,Moyenne à forte,200 - 400,"Bourdonnement moyen, irrégulier avec des changements rapides.","Plantes fleuries (fleurs simples), haies mellifères."
Papillon classique,Pollinisateur,Pollinisation secondaire des fleurs profondes.,Aucune (nectar),Pollinisateur secondaire des roses simples à cœur accessible.,15,30,40,70,Forte,30 - 150,"Battement doux, très faible, généralement inaudible.","Fleurs de couleurs vives, zones ensoleillées, plantes hôtes."
Abeille charpentière,Pollinisateur,"Pollinisateur vigoureux, adapté aux grandes fleurs robustes.",Aucune (nectar & pollen),Efficace sur les variétés de roses à grandes fleurs doubles nécessitant plus de force pour accéder au pollen.,15,30,40,70,Forte,100 - 200,"Très grave, 'Brrrrr' profond, vibration importante.","Bois mort laissé sur place, fleurs larges et riches."
Papillon sphinx,Pollinisateur,Pollinisation crépusculaire et nocturne de fleurs tubulaires.,Aucune (nectar),Complète la pollinisation en soirée quand les autres pollinisateurs sont inactifs.,15,28,50,80,Faible (crépuscule),50 - 85,"Son lourd, persistant, ronronnement grave et constant.","Fleurs s'ouvrant le soir (ex: chèvrefeuille, herbe aux ânes)."
